ProductId,Current stock,2026-07-13
LDWWE27123PK,66,31
PLTABC+ICST64E27,76,66
ENC4138,8,29
5IP20100,181,127
ENC4339,0,7
ENC4348,6,5
LDCWB223APK,0,0
LDCWB22253PK,0,0
LDWWB22123PK,0,0
LDCWE2718APK,27,14
LDCWE27182PK,137,70
PLTABM+ICST64E27,54,39
PLWP120RR+ICST64E27,45,43
CRSF100CO+PHUP1PBRCO+CNT900CO+LSCY290CO,256,223
ENC4338,0,47
CRFF140BM+WSCH135BM+LSDO210RE+ICST64E27,129,0
CRSF100GG+PHTT1PWR105GG+WCGSGD+ICST64E27,19,15
LDWWE273,0,0
PHSF1PWR40WH+LSBS160GR+ICST64E27,85,112
24IP20300,106,100
CRSF100BM+PHUH1HETBM+LSCY290BC+ICST64E27,779,214
LSCY290BS+RPR44WH,1105,1009
CRSF100RO+PHCHPBRRO+WCWDRO,167,133
12IP20720,57,0
CRSF100BM+PHSQ1PBRYB+LSFT220YE+LDMST64E274,0,563
LDCWB22153PK,103,85
CRSF140GL+LHNSE27YB+SCRN70BM+LSDO210BM,0,0
LSLT360NB2PK+RPR44WH2PK,33,31
CRFF500RR+PHSH1PBRRR3PK+WCBNRR3PK,19,18
CRFF108RO+WSST70RO+LSFT220RO+ICST64E27,80,72
CRSF100BM+WSHR135BM+LSOL180BM+ICST64E27,693,595
PLWP120BM+ICST64E27,1,1
CRSF100BM+LHHTE27BM+WCWVBM,98,84
CRSF100BM5PK+PHHT1PBRBM5PK+ICST64E275PK,1457,1263
ENC4337,0,38
WCB1WH,365,278
CRFF140GL+LHNSE27YB+SCRN70BM+LSFT220RR+ICST64E27,44,644
CRSF100BU+PHRB1PBRWH+LSWE315BU+ICST64E27,34,33
ENC4437,0,0
CRSF100BU+PHCH1PWRSBU+LSMS320BU,0,0
LDWWE2793PK,0,0
PHSF1PWR40WH+LSBS160BM,0,170
24IP2024,101,73
LSDO400NB+RPR44WH,0,0
CRSF100BM+PHPV1HERBM+LSDO210BM+ICST64E27,17,55
