product_item_id,shopify_id,sku,title,status,quantity,listing_max_platform_stock,compare_price,price,merch_avail,merch_sale_price,spend_30d,clicks_30d
7982925283578,7982925283578,,10 Pack E27 Pendant Light Fitting Set with Adjustable Cable ~4253,active,,,,,IN_STOCK,55.89,0.04,0
4523830345824,4523830345824,,Industrial Rose Gold Wire Cage Bedside Table Lamp LED~2500,active,,,,,IN_STOCK,,0.04,0
14929097884034,14929097884034,,Vintage Retro Metal Shade Pendant Light E27 ~5854,active,,,,,IN_STOCK,,0.04,0
4417290567776,4417290567776,,Rustic Red Industrial Water Pipe Wall Light E27~2885,active,,,,,IN_STOCK,,0.04,0
4448093175904,4448093175904,,120mm Yellow Brass 4 Outlet Ceiling Rose Pendant Light Fitting ~2753,active,,,,,IN_STOCK,7.48,0.03,1
4448093175904,4448093175904,,120mm Yellow Brass 4 Outlet Ceiling Rose Pendant Light Fitting ~2753,active,,,,,IN_STOCK,,0.03,1
8565001978106,8565001978106,,Large Coolie Lampshades For Ceiling Lamp Shade ~ 5492,active,,,,,IN_STOCK,,0.02,0
8136238366970,8136238366970,,Colour Colourful -Modern Quartz Round Wall Clock~5195,active,,,,,IN_STOCK,,0.01,0
14929097884034,14929097884034,,Vintage Retro Metal Shade Pendant Light E27 ~5854,active,,,,,IN_STOCK,11.59,0.01,0
4572385935456,4572385935456,,Vintage Metro Pendant Shade Metal Retro Bedroom Kitchen Modern Light Style Home~2320,active,,,,,IN_STOCK,,0.01,0
8136238366970,8136238366970,,Colour Colourful -Modern Quartz Round Wall Clock~5195,active,,,,,IN_STOCK,9.79,0.01,0
4572385935456,4572385935456,,Vintage Metro Pendant Shade Metal Retro Bedroom Kitchen Modern Light Style Home~2320,active,,,,,IN_STOCK,13.89,0.01,0
7651375677690,7651375677690,,Semi Flush Mount Ceiling Light E27 ~3763,active,,,,,IN_STOCK,16.10,0.00,0
14875084423554,14875084423554,,AC to DC Constant Current Supply G4 MR11 MR16 Pack 2 ~5595,active,,,,,IN_STOCK,,0.00,0
7062445359265,7062445359265,,Galvanized Threaded Iron pipe threaded pipe - 3/4inch carbon steel pipe/tube 6.5cm~1158,active,,,,,IN_STOCK,,0.00,0
8014175895802,8014175895802,,White E27 Edison screw Bulb Metal lamp holder Pack 1/2 ~4934,active,,,,,IN_STOCK,,0.00,0
7983355592954,7983355592954,,Industrial Vintage 3-Light Ceiling Chandelier with Barn-Style Shades~4301,active,,,,,IN_STOCK,,0.00,0
8630295331066,8630295331066,,Ceiling Rose Front Fitting Metal Plate Light Fitting ~5527,active,,,,,IN_STOCK,,0.00,0
4417257996384,4417257996384,,24W LED Driver 30-40V DC Power Supplies ~3317,active,,,,,IN_STOCK,7.19,0.00,0
