product_item_id,product_id,variant_id,sku,product_title,campaign_id,site,status,quantity,compare_price,current_price,total_clicks,total_spend,total_conversions,total_conversion_value,compare_price_bucket
shopify_gb_5240106352801_34419249643681,5240106352801,34419249643681,CO1260ACL,60A / 1,21242723265,UK,active,180,,1.39,0,0.00,0.00,0.00,NULL
shopify_gb_5320834285729_34806928572577,5320834285729,34806928572577,CODL232AGY5PK,Two Way / 5,21242723265,UK,active,699,,1.21,0,0.00,0.00,0.00,NULL
shopify_gb_5320834285729_34806928670881,5320834285729,34806928670881,CODL332AGY,Three Way / 1,21242723265,UK,active,4001,,0.40,0,0.00,0.00,0.00,NULL
shopify_gb_5320834285729_34806928736417,5320834285729,34806928736417,CODL332AGYAPK,Three Way / 10,21242723265,UK,active,400,,3.28,0,0.00,0.00,0.00,NULL
shopify_gb_4587393581152_34843525185697,4587393581152,34843525185697,CRSF100GY5PK,Grey,21242723265,UK,active,78,,20.69,0,0.00,0.00,0.00,NULL
shopify_gb_5334385819809_34892020973729,5334385819809,34892020973729,PLPYBS+ICST64E27,Brushed Silver,21069663519,UK,active,68,,17.29,0,0.00,0.00,0.00,NULL
shopify_gb_5334385819809_34892031099041,5334385819809,34892031099041,PLPYBM+ICST64E27,Black,21069663519,UK,active,172,,17.29,0,0.00,0.00,0.00,NULL
shopify_gb_5509926977697_35586028699809,5509926977697,35586028699809,CRSF100BM+PHSH1PBRYB+SCRN70BM+LSFT220BI,Black / No,23110323532,UK,active,550,0.00,15.20,0,0.00,0.00,0.00,ZERO
shopify_gb_5509926977697_35586028798113,5509926977697,35586028798113,CRSF100BM+PHSH1PBRYB+SCRN70BM+LSFT220GR+ICST64E2760,Green / Yes,23110323532,UK,active,550,0.00,18.20,0,0.00,0.00,0.00,ZERO
shopify_gb_5509926977697_35586029027489,5509926977697,35586029027489,CRSF100BM+PHSH1PBRYB+SCRN70BM+LSFT220WH,White / No,23110323532,UK,active,550,0.00,15.20,0,0.00,0.00,0.00,ZERO
shopify_gb_5670350356641_36177679810721,5670350356641,36177679810721,PHUH1HETBM+LSFT220BC,Default Title,23110323532,UK,active,410,,18.49,0,0.00,0.00,0.00,NULL
shopify_gb_5784601854113_36693800911009,5784601854113,36693800911009,CRSF100BM+PHTT1PBRBM+WCRTBR,Default Title,23110323532,UK,active,187,,9.89,0,0.00,0.00,0.00,NULL
shopify_gb_6052095688865_37652236402849,6052095688865,37652236402849,CRSF100GR+PHCH1PWRSGR+LSMS320GR,Default Title,23110323532,UK,active,91,,15.89,0,0.00,0.00,0.00,NULL
shopify_gb_6685790797985_39726992654497,6685790797985,39726992654497,CRSF120FG+PHSF2GDTFG+LSFT220FG,Default Title,23110323532,UK,active,19,,16.05,0,0.00,0.00,0.00,NULL
shopify_gb_6685791551649_39727001632929,6685791551649,39727001632929,ENC1427,Default Title,22079334413,UK,active,31,,57.85,0,0.00,0.00,0.00,NULL
shopify_gb_6749410328737_39991328768161,6749410328737,39991328768161,CRSF120BC+PHCH1PBRBC+SCRN70BC+LSWD360BC,Default Title,23110323532,UK,active,14,,18.89,0,0.00,0.00,0.00,NULL
shopify_gb_6756420288673_40016245817505,6756420288673,40016245817505,CRFF75SN,Satin Nickel,21242723265,UK,active,483,0.00,4.49,0,0.00,0.00,0.00,ZERO
shopify_gb_6772383252641_40085353005217,6772383252641,40085353005217,WJB2,2 Way / 1,21242723265,UK,active,241,,3.15,0,0.00,0.00,0.00,NULL
shopify_gb_6852406640801_40347129151649,6852406640801,40347129151649,CRSF100RO+PHCHPBRRO+WCWDRO+LDMST64E274,with bulb,23110323532,UK,active,109,,19.89,0,0.00,0.00,0.00,NULL
shopify_gb_6863281488033_40379135918241,6863281488033,40379135918241,CRSF100BM+PHTT1PBRBM+WCRTBR+ICST64E27,Rattan cage 2,23110323532,UK,active,187,,12.89,0,0.00,0.00,0.00,NULL
shopify_gb_6869514977441_40398237139105,6869514977441,40398237139105,LSMS320BT+RPR44WH,Semi Curvy - Light Blue,21069663519,UK,active,269,0.00,12.59,0,0.00,0.00,0.00,ZERO
shopify_gb_7015409189025_40943166423201,7015409189025,40943166423201,ENC1920,With Bulb,23110323532,UK,active,41,,43.69,0,0.00,0.00,0.00,NULL
shopify_gb_4613822152800_41949513580794,4613822152800,41949513580794,LHSHE27CO,Copper,21242723265,UK,active,492,,4.89,0,0.00,0.00,0.00,NULL
shopify_gb_7466279960826_42104267374842,7466279960826,42104267374842,LHWME27BM,Default Title,21242723265,UK,active,365,,3.49,0,0.00,0.00,0.00,NULL
shopify_gb_7502163738874_42242485715194,7502163738874,42242485715194,ENC2235,Rose Gold / No,23110323532,UK,active,194,0.00,35.99,0,0.00,0.00,0.00,ZERO
shopify_gb_7502163738874_42242485813498,7502163738874,42242485813498,ENC2217,Black / No,23110323532,UK,active,782,0.00,35.99,0,0.00,0.00,0.00,ZERO
